time,lat,lon,hMSL,velN,velE,velD,hAcc,vAcc,sAcc,gpsFix,numSV
,(deg),(deg),(m),(m/s),(m/s),(m/s),(m),(m),(m/s),,,
2014-08-07T13:08:32.20Z,46.3945254,17.7314275,4319.574,52.83,-21.17,-2.35,129.722,223.359,7.85,3,4
2014-08-07T13:08:32.40Z,46.3946469,17.7313774,4320.423,52.63,-21.36,-2.20,93.973,122.186,5.30,3,4
2014-08-07T13:08:32.60Z,46.3947513,17.7313142,4319.375,52.37,-21.12,-1.67,72.322,106.099,4.33,3,4
2014-08-07T13:08:32.80Z,46.3948540,17.7312527,4317.044,52.53,-21.01,-0.21,61.644,95.036,4.01,3,4
2014-08-07T13:08:33.00Z,46.3949552,17.7311936,4315.071,53.34,-21.06,0.47,54.840,86.906,3.83,3,4
2014-08-07T13:08:33.20Z,46.3950459,17.7311359,4315.159,53.55,-21.13,0.68,49.959,80.589,3.71,3,4
2014-08-07T13:08:33.40Z,46.3951408,17.7310791,4315.148,54.00,-21.26,0.85,46.038,75.467,3.62,3,4
2014-08-07T13:08:33.60Z,46.3952373,17.7310221,4314.767,54.35,-21.23,0.99,42.960,71.238,3.56,3,4
2014-08-07T13:08:33.80Z,46.3953327,17.7309667,4314.225,54.17,-21.03,0.98,40.601,68.088,3.52,3,4
2014-08-07T13:08:34.00Z,46.3954295,17.7309104,4314.305,54.66,-21.40,0.86,38.333,64.749,3.48,3,4
2014-08-07T13:08:34.20Z,46.3955275,17.7308539,4314.115,54.57,-21.35,1.01,36.553,62.215,3.46,3,4
2014-08-07T13:08:34.40Z,46.3956272,17.7307970,4313.936,55.03,-21.33,1.02,35.011,59.963,3.44,3,4
2014-08-07T13:08:34.60Z,46.3957255,17.7307421,4313.739,54.97,-21.12,1.11,33.618,57.943,3.41,3,4
2014-08-07T13:08:34.80Z,46.3958230,17.7306872,4313.690,54.79,-21.05,1.24,32.464,56.340,3.39,3,4
2014-08-07T13:08:35.00Z,46.3959196,17.7306326,4313.881,54.67,-20.82,1.35,31.435,54.874,3.38,3,4
2014-08-07T13:08:35.20Z,46.3960173,17.7305777,4313.958,54.95,-20.83,1.42,30.475,53.521,3.36,3,4
2014-08-07T13:08:35.40Z,46.3961141,17.7305239,4313.948,54.92,-20.79,1.52,29.608,52.271,3.34,3,4
2014-08-07T13:08:35.60Z,46.3962070,17.7304721,4314.665,54.45,-20.47,1.13,28.886,51.327,3.30,3,4
2014-08-07T13:08:35.80Z,46.3963001,17.7304195,4315.249,54.16,-20.69,0.79,28.227,50.442,3.28,3,4
2014-08-07T13:08:36.00Z,46.3963917,17.7303686,4315.950,53.85,-20.43,0.52,27.575,49.488,3.26,3,4
2014-08-07T13:08:36.20Z,46.3964839,17.7303175,4316.590,53.73,-20.23,0.24,26.988,48.662,3.23,3,4
2014-08-07T13:08:36.40Z,46.3965806,17.7302635,4316.721,54.39,-20.70,0.24,26.446,47.884,3.22,3,4
2014-08-07T13:08:36.60Z,46.3966744,17.7302120,4316.722,53.91,-20.46,0.38,25.940,47.144,3.21,3,4
2014-08-07T13:08:38.80Z,46.3977302,17.7296374,4316.652,53.65,-20.03,0.44,27.601,47.450,4.19,3,4
2014-08-07T13:08:39.00Z,46.3978223,17.7295875,4316.486,53.58,-20.11,0.58,26.274,45.655,3.57,3,4
2014-08-07T13:08:39.20Z,46.3979196,17.7295352,4315.831,53.71,-20.10,0.66,25.216,44.062,3.32,3,4
2014-08-07T13:08:39.40Z,46.3980146,17.7294835,4315.591,53.63,-20.09,0.67,24.304,42.637,3.20,3,4
2014-08-07T13:08:39.60Z,46.3981116,17.7294312,4315.148,53.81,-19.98,0.79,23.454,41.226,3.13,3,4
2014-08-07T13:08:39.80Z,46.3982033,17.7293806,4315.853,53.79,-19.94,0.54,22.650,39.897,3.07,3,4
2014-08-07T13:08:40.00Z,46.3982950,17.7293296,4316.685,53.74,-20.07,0.29,21.959,38.775,3.03,3,4
2014-08-07T13:08:40.20Z,46.3983866,17.7292793,4317.501,53.66,-20.02,0.10,21.378,37.819,3.01,3,4
2014-08-07T13:08:40.40Z,46.3984831,17.7292284,4317.242,53.90,-19.86,0.25,20.899,37.055,3.01,3,4
2014-08-07T13:08:40.60Z,46.3985804,17.7291781,4316.576,53.89,-19.78,0.44,20.455,36.334,3.01,3,4
2014-08-07T13:08:40.80Z,46.3986788,17.7291274,4315.801,54.02,-19.75,0.65,20.012,35.565,3.01,3,4
2014-08-07T13:08:41.00Z,46.3987791,17.7290766,4314.749,54.29,-19.59,0.97,19.625,34.837,3.06,3,4
2014-08-07T13:08:41.20Z,46.3988784,17.7290258,4314.059,54.41,-19.43,1.19,19.290,34.135,3.12,3,4
2014-08-07T13:08:41.40Z,46.3989782,17.7289764,4313.501,54.55,-18.91,1.20,18.972,33.456,3.14,3,4
2014-08-07T13:08:41.60Z,46.3990784,17.7289262,4312.793,54.48,-19.00,1.13,18.686,32.809,3.17,3,4
2014-08-07T13:08:41.80Z,46.3991751,17.7288770,4312.708,54.33,-18.94,1.16,18.431,32.200,3.21,3,4
2014-08-07T13:08:42.00Z,46.3992727,17.7288282,4312.474,54.32,-18.79,1.15,18.226,31.698,3.24,3,4
2014-08-07T13:08:42.20Z,46.3993731,17.7287800,4311.549,54.35,-18.39,1.31,18.040,31.219,3.27,3,4
2014-08-07T13:08:42.40Z,46.3994745,17.7287302,4311.527,55.56,-18.71,1.14,17.894,30.767,3.35,3,4
2014-08-07T13:08:42.60Z,46.3995752,17.7286800,4311.454,56.05,-19.06,1.14,17.727,30.341,3.33,3,4
2014-08-07T13:08:42.80Z,46.3996751,17.7286312,4311.508,56.29,-18.96,1.10,17.595,29.998,3.33,3,4
2014-08-07T13:08:43.00Z,46.3997783,17.7285801,4311.330,56.70,-19.25,1.05,17.496,29.677,3.37,3,4
2014-08-07T13:08:43.20Z,46.3998769,17.7285341,4311.344,56.30,-18.46,1.04,17.334,29.289,3.37,3,4
2014-08-07T13:08:43.40Z,46.3999785,17.7284865,4311.186,56.62,-18.32,1.11,17.159,28.860,3.36,3,4
2014-08-07T13:08:43.60Z,46.4000798,17.7284399,4311.055,56.72,-18.14,1.11,16.986,28.449,3.33,3,4
2014-08-07T13:08:43.80Z,46.4001820,17.7283952,4310.550,56.74,-17.56,1.21,16.817,28.056,3.30,3,4
2014-08-07T13:08:44.00Z,46.4002853,17.7283502,4309.978,56.93,-17.39,1.30,16.649,27.615,3.32,3,4
2014-08-07T13:08:44.20Z,46.4003884,17.7283054,4309.426,56.99,-17.31,1.42,16.494,27.199,3.33,3,4
2014-08-07T13:08:44.40Z,46.4004903,17.7282625,4308.903,56.81,-16.88,1.49,16.358,26.869,3.32,3,4
